feature,mean_abs_shap,pct,cum_pct
market_volatility_20,0.0008741567663345153,43.50135810819557,43.50135810819557
market_trend_60,0.0006080560719501998,30.25917770640033,73.7605358145959
market_trend_20,0.000230451020261809,11.468117327334998,85.22865314193089
bias_20,0.00011040565225676892,5.494204244542471,90.72285738647336
theme_turnover_ratio,0.00010751710233907476,5.350459038622589,96.07331642509595
drawdown_60,3.970316601793648e-05,1.9757802141343457,98.0490966392303
ma_5,2.9359290521657354e-05,1.4610297145448525,99.51012635377515
ma_20,3.798272739695246e-06,0.18901646593083862,99.69914281970598
ret_60_skew,2.424780026904346e-06,0.12066625615250494,99.81980907585849
volume_surge_ratio,2.159172906089659e-06,0.10744863784464073,99.92725771370313
cci_20,1.4617511850290422e-06,0.07274228629684278,99.99999999999997
chip_flow_intensity_20,0.0,0.0,99.99999999999997
foreign_buy_ratio_5,0.0,0.0,99.99999999999997
fund_revenue_yoy,0.0,0.0,99.99999999999997
foreign_buy_ratio_20,0.0,0.0,99.99999999999997
ma_alignment,0.0,0.0,99.99999999999997
trend_persistence,0.0,0.0,99.99999999999997
foreign_buy_consecutive_days,0.0,0.0,99.99999999999997
foreign_buy_streak_5,0.0,0.0,99.99999999999997
fund_revenue_mom,0.0,0.0,99.99999999999997
amt_20,0.0,0.0,99.99999999999997
fund_revenue_yoy_accel,0.0,0.0,99.99999999999997
theme_return_20,0.0,0.0,99.99999999999997
willr_14,0.0,0.0,99.99999999999997
cmf_20,0.0,0.0,99.99999999999997
market_above_200ma,0.0,0.0,99.99999999999997
sector_momentum,0.0,0.0,99.99999999999997
foreign_buy_streak,0.0,0.0,99.99999999999997
foreign_buy_intensity,0.0,0.0,99.99999999999997
rs_rank_20,0.0,0.0,99.99999999999997
ret_60_kurt,0.0,0.0,99.99999999999997
boll_pct,0.0,0.0,99.99999999999997
price_volume_divergence,0.0,0.0,99.99999999999997
vol_20,0.0,0.0,99.99999999999997
vol_ratio_20,0.0,0.0,99.99999999999997
vol_20_inv,0.0,0.0,99.99999999999997
atr_inv,0.0,0.0,99.99999999999997
trend_persistence_inv,0.0,0.0,99.99999999999997
trust_net_5_inv,0.0,0.0,99.99999999999997
foreign_net_5,0.0,0.0,99.99999999999997
foreign_net_20,0.0,0.0,99.99999999999997
trust_net_5,0.0,0.0,99.99999999999997
trust_net_20,0.0,0.0,99.99999999999997
ret_5,0.0,0.0,99.99999999999997
ret_10,0.0,0.0,99.99999999999997
ret_20,0.0,0.0,99.99999999999997
ret_60,0.0,0.0,99.99999999999997
ma_60,0.0,0.0,99.99999999999997
rsi_14,0.0,0.0,99.99999999999997
macd_hist,0.0,0.0,99.99999999999997
kd_k,0.0,0.0,99.99999999999997
kd_d,0.0,0.0,99.99999999999997
short_balance_chg_5,0.0,0.0,99.99999999999997
short_balance_chg_20,0.0,0.0,99.99999999999997
margin_short_ratio,0.0,0.0,99.99999999999997
amt,0.0,0.0,99.99999999999997
amt_ratio_20,0.0,0.0,99.99999999999997
rs_rank_60,0.0,0.0,99.99999999999997
