stock_id,name,entry_date,exit_date,entry_price,exit_price,realized_pnl_pct,stoploss_triggered,exit_reason,score
4738,大同精化,2016-04-01,2016-05-03,4.69,6.64,0.40993575159914686,False,Normal Rebalance Exit,0.10623951748161956
5321,美而快,2016-04-01,2016-04-06,29.9,0.0,-0.5,True,Stop Loss / Trailing Stop,0.15497535618844807
5398,慕康生醫,2016-04-01,2016-05-03,34.2,33.4,-0.029234312865497186,False,Normal Rebalance Exit,0.08585100509147943
5529,鉅陞,2016-04-01,2016-04-07,12.15,11.1,-0.0922622530864198,True,Stop Loss / Trailing Stop,0.1951768760510329
6146,耕興,2016-04-01,2016-05-03,160.5,177.0,0.09696123831775691,False,Normal Rebalance Exit,0.0869028894096759
6407,相互,2016-04-01,2016-04-26,15.0,13.8,-0.08584249999999996,True,Stop Loss / Trailing Stop,0.1417220588750457
6415,矽力*-KY,2016-04-01,2016-05-03,422.5,421.0,-0.009392795857988162,False,Normal Rebalance Exit,0.09666900411542503
8458,影一,2016-04-01,2016-05-03,33.2,33.41,0.0004828012048190009,False,Normal Rebalance Exit,0.11600263823600132
1789,神隆,2016-05-03,2016-06-01,42.55,46.55,0.08816455052878977,False,Normal Rebalance Exit,0.12417424863848282
2013,中鋼構,2016-05-03,2016-05-13,22.6,20.95,-0.07885134955752218,True,Stop Loss / Trailing Stop,0.09550630490165811
2101,南港,2016-05-03,2016-06-01,26.85,26.9,-0.003980302607076407,False,Normal Rebalance Exit,0.11394196720410556
2103,台橡,2016-05-03,2016-06-01,27.6,27.3,-0.016712065217391353,False,Normal Rebalance Exit,0.10356808149280661
2608,嘉里大榮,2016-05-03,2016-06-01,40.85,40.75,-0.008290480416156681,False,Normal Rebalance Exit,0.11228242568079774
3232,昱捷,2016-05-03,2016-05-04,15.6,14.25,-0.09238096153846156,True,Stop Loss / Trailing Stop,0.09942720828359694
3373,熱映,2016-05-03,2016-05-12,29.5,27.3,-0.08041877118644061,True,Stop Loss / Trailing Stop,0.08599868856135028
3376,新日興,2016-05-03,2016-06-01,90.0,111.5,0.23304638888888893,False,Normal Rebalance Exit,0.11746007768301872
3540,曜越,2016-05-03,2016-06-01,13.75,17.2,0.24506659090909075,False,Normal Rebalance Exit,0.10699222693173768
3666,光耀,2016-05-03,2016-05-06,24.35,22.3,-0.09003141170431209,True,Stop Loss / Trailing Stop,0.10416478671010726
3706,神達,2016-05-03,2016-05-13,22.5,20.75,-0.08362027777777772,True,Stop Loss / Trailing Stop,0.08593126487921202
4736,泰博,2016-05-03,2016-06-01,135.0,155.5,0.1460093518518519,False,Normal Rebalance Exit,0.09878860684092532
4738,大同精化,2016-05-03,2016-05-05,6.64,6.06,-0.09319189759036142,True,Stop Loss / Trailing Stop,0.2494234862815905
6504,南六,2016-05-03,2016-06-01,147.0,150.0,0.014565663265306145,False,Normal Rebalance Exit,0.11303205562458678
8069,元太,2016-05-03,2016-06-01,14.5,16.7,0.14588163793103434,False,Normal Rebalance Exit,0.10714660797310692
8097,常珵,2016-05-03,2016-05-04,14.9,13.8,-0.0796680033557047,True,Stop Loss / Trailing Stop,0.17347761249899837
9906,欣巴巴,2016-05-03,2016-05-05,20.5,18.05,-0.12535469512195122,True,Stop Loss / Trailing Stop,0.08494102812050959
9938,百和,2016-05-03,2016-05-12,96.5,89.5,-0.07838136010362698,True,Stop Loss / Trailing Stop,0.09628324318163187
9942,茂順,2016-05-03,2016-06-01,74.5,78.4,0.04650649328859077,False,Normal Rebalance Exit,0.10656015332388251
9958,世紀鋼,2016-05-03,2016-06-01,10.3,10.0,-0.03496871359223311,False,Normal Rebalance Exit,0.0894904762085235
1563,巧新,2016-06-01,2016-07-01,159.39,174.07,0.08625863557939659,False,Normal Rebalance Exit,0.07367352326885787
1780,立弘,2016-06-01,2016-06-20,19.6,18.1,-0.08237311224489799,True,Stop Loss / Trailing Stop,0.06913322131178615
2504,國產,2016-06-01,2016-07-01,8.54,8.23,-0.04214226580796235,False,Normal Rebalance Exit,0.07246338052836891
2906,高林,2016-06-01,2016-07-01,11.3,11.7,0.029555730088495408,False,Normal Rebalance Exit,0.079891304113472
3184,微邦,2016-06-01,2016-06-08,20.8,0.0,-0.5,True,Stop Loss / Trailing Stop,0.06391995444070818
3346,麗清,2016-06-01,2016-07-01,28.1,32.51,0.15109700177935934,False,Normal Rebalance Exit,0.09471361583366622
3627,華信科,2016-06-01,2016-07-01,76.5,88.25,0.14775227124182996,False,Normal Rebalance Exit,0.11809025478380217
