date,stock_id,valid,total_shares,total_people,small_pct,small_shares,small_people,small_reported_pct,large_pct,large_shares,large_people,large_reported_pct,raw_close,inventory_change_pct
2026-04-02,2492,True,485804774.0,84020.0,38.94330626730317,189188441,83844,38.89,52.47969424030403,254948860,29,52.47,114.0,
2026-04-10,2492,True,485804774.0,85024.0,39.10219704839706,189960340,84846,39.059999999999995,52.21255956616021,253651107,27,52.21,128.5,0.0
2026-04-17,2492,True,485804774.0,79637.0,36.25134857155603,176110782,79464,36.2,55.300568124923366,268652800,31,55.3,147.0,0.0
2026-04-24,2492,True,485804774.0,78922.0,36.38951765426661,176782014,78747,36.34,55.69148153327946,270551876,33,55.69,130.0,0.0
2026-04-30,2492,True,485804774.0,78971.0,36.52866840703381,177458015,78796,36.47999999999999,55.450250268639806,269379963,33,55.45,131.5,0.0
2026-05-08,2492,True,485804774.0,72649.0,32.490991947312565,157842790,72476,32.45,59.328265061470965,288219544,37,59.32,156.0,0.0
2026-05-15,2492,True,485804774.0,67429.0,27.33944932373184,132816350,67251,27.299999999999997,64.5427282276975,313551655,40,64.54,206.0,0.0
2026-05-22,2492,True,485804774.0,66225.0,25.504420012142575,123901690,66054,25.45,66.9190253778774,325095820,41,66.91,292.5,0.0
2026-05-29,2492,True,485204774.0,67113.0,23.83604391328598,115653623,66949,23.78,68.40086552816976,331884265,40,68.4,394.0,-0.1235064025945531
2026-06-05,2492,True,485204774.0,68788.0,23.193515198183107,112536043,68626,23.160000000000004,69.62208249006223,337809668,41,69.62,416.0,0.0
2026-06-12,2492,True,485204774.0,68653.0,22.43470094133905,108854240,68493,22.4,70.19710135828136,340599687,39,70.19,409.0,0.0
2026-06-18,2492,True,485204774.0,67446.0,21.63454290332271,104971835,67277,21.6,71.10892029269274,345023876,43,71.1,561.0,0.0
2026-06-26,2492,True,485204774.0,82134.0,22.464353988404905,108998118,81953,22.41,69.47181686221414,337080572,43,69.47,540.0,0.0
2026-07-03,2492,True,485204774.0,82192.0,22.162543685112215,107533720,82010,22.119999999999997,69.42886242087964,336872155,41,69.42,563.0,0.0
2026-07-09,2492,True,485204774.0,83701.0,22.283701602655707,108121584,83526,22.24,69.45678836210297,337007653,40,69.45,465.5,0.0
2026-07-17,2492,True,485204774.0,86226.0,23.113602134508263,112148301,86057,23.07,69.18632812133048,335695367,42,69.18,307.5,0.0
2026-07-24,2492,True,485204774.0,85855.0,23.26911874119359,112902875,85680,23.22,68.32148461094903,331499105,40,68.32,274.0,0.0
2026-07-31,2492,True,485204774.0,86154.0,23.537940086302612,114207209,85982,23.49000000000001,68.47041781167636,332221736,41,68.47,218.0,0.0
2026-08-07,2492,True,485204774.0,94288.0,25.8898584126462,125618829,94112,25.86,66.24541517804604,321425917,42,66.24,251.0,0.0
2026-08-14,2492,True,485204774.0,98636.0,26.86281256581371,130339649,98461,26.83,64.84844994538327,314647775,42,64.84,302.5,0.0
2026-08-21,2492,True,485204774.0,114177.0,31.642048517849084,153528730,114001,31.610000000000007,60.450497339912815,293308699,41,60.45,266.0,0.0
2026-08-28,2492,True,485204774.0,116016.0,32.2742980678092,156596435,115840,32.22,60.14381136324104,291820644,41,60.14,313.5,0.0
2026-09-04,2492,True,485204774.0,122196.0,33.18291196368155,161005073,122029,33.15,59.07155707416844,286618015,38,59.07,298.5,0.0
